Date and time: 2010-01-01 00:00:00,,,
Netcontrollers: ,,,
,,,
Silo,Cable,Sensor,Value (°C)
36,1,1,
36,1,2,
36,1,3,
36,1,4,
36,1,5,
36,1,6,
36,1,7,
36,2,1,
36,2,2,
36,2,3,
36,2,4,
36,2,5,
36,2,6,
36,2,7,
36,3,1,
36,3,2,
36,3,3,
36,3,4,
36,3,5,
36,3,6,
36,3,7,
36,4,1,
36,4,2,
36,4,3,
36,4,4,
36,4,5,
36,4,6,
36,4,7,
36,5,1,
36,5,2,
36,5,3,
36,5,4,
36,5,5,
36,5,6,
36,5,7,
36,6,1,
36,6,2,
36,6,3,
36,6,4,
36,6,5,
36,6,6,
36,6,7,
35,7,1,
35,7,2,
35,7,3,
35,7,4,
35,7,5,
35,7,6,
35,7,7,
35,8,1,
35,8,2,
35,8,3,
35,8,4,
35,8,5,
35,8,6,
35,8,7,
35,9,1,
35,9,2,
35,9,3,
35,9,4,
35,9,5,
35,9,6,
35,9,7,
35,10,1,
35,10,2,
35,10,3,
35,10,4,
35,10,5,
35,10,6,
35,10,7,
35,11,1,
35,11,2,
35,11,3,
35,11,4,
35,11,5,
35,11,6,
35,11,7,
35,12,1,
35,12,2,
35,12,3,
35,12,4,
35,12,5,
35,12,6,
35,12,7,
34,13,1,
34,13,2,
34,13,3,
34,13,4,
34,13,5,
34,13,6,
34,13,7,
34,14,1,
34,14,2,
34,14,3,
34,14,4,
34,14,5,
34,14,6,
34,14,7,
34,15,1,
34,15,2,
34,15,3,
34,15,4,
34,15,5,
34,15,6,
34,15,7,
34,16,1,
34,16,2,
34,16,3,
34,16,4,
34,16,5,
34,16,6,
34,16,7,
34,17,1,
34,17,2,
34,17,3,
34,17,4,
34,17,5,
34,17,6,
34,17,7,
34,18,1,
34,18,2,
34,18,3,
34,18,4,
34,18,5,
34,18,6,
34,18,7,
33,19,1,
33,19,2,
33,19,3,
33,19,4,
33,19,5,
33,19,6,
33,19,7,
33,20,1,
33,20,2,
33,20,3,
33,20,4,
33,20,5,
33,20,6,
33,20,7,
33,21,1,
33,21,2,
33,21,3,
33,21,4,
33,21,5,
33,21,6,
33,21,7,
33,22,1,
33,22,2,
33,22,3,
33,22,4,
33,22,5,
33,22,6,
