СИТ ГРЕЙНБАРИзмерение от 12.07.16, 14:03:42  Температура предупрежденя 30.0
  № |ш.м.п.|Сил.      |       Т1       Т2       Т3       Т4       Т5       Т6
------------------------------------------------------------------------------
  1 | 1 1 2|5-2       |      9.3     22.1      22.9     23.3     23.1     23.6
  2 | 1 1 3|5-84-1    |     13.8     16.8      14.8     14.2     16.3     23.3
  3 | 1 1 4|5-1*      |     24.1     23.8      24.3     24.7     24.4     23.9
  4 | 1 2 1|5-2*      |     14.0     22.4      22.6     22.5     22.9     23.5
  5 | 1 2 2|5-3*      |     20.3     22.0      21.7     21.5     23.5     22.5
  6 | 1 2 3|5-7       |     24.3     24.5      24.3     24.2     25.1     24.3
  7 | 1 2 4|5-8       |     22.2     22.2      22.3     22.7     22.6     23.0
  8 | 1 3 1|5-84-2    |     16.6     17.2      16.6     16.6     16.6     22.0
  9 | 1 3 3|5-1       |     26.1     25.1      25.3     25.2     26.0     25.1
 10 | 2 1 1|5-10      |     17.7     18.6      18.1     18.5     19.2     22.5
 11 | 2 1 2|5-6       |     24.6     23.1      23.1     23.1     23.2     23.4
 12 | 2 1 3|5-11      |     15.8     18.8      19.7     22.0     20.4     21.9
 13 | 2 1 4|5-12      |     23.1     22.6      23.5     22.8     22.6     22.9
 14 | 2 2 1|5-5*      |     21.0     22.1      22.1     22.5     22.6     23.1
 15 | 2 2 2|5-5       |     23.6     24.8      29.5     23.6     23.7     23.6
 16 | 2 2 3|5-4*      |     23.3     23.3      22.9     23.0     23.7     23.6
 17 | 2 2 4|5-4       |     24.2     23.6      23.8     23.7     23.5     23.3
 18 | 3 1 1|5-13*     |     22.6     22.8      24.8     23.2     23.5     23.5
 19 | 3 1 2|5-18      |     22.6     22.3      23.0     22.2     22.5     22.0
 20 | 3 1 3|5-14*     |     23.3     22.9      23.0     23.5     22.8     22.9
 21 | 3 1 4|5-15*     |     22.5     22.7      22.3     22.7     22.4     23.0
 22 | 3 2 1|5-10*     |     20.2     20.2      20.6     21.0     21.1     21.7
 23 | 3 2 2|5-17      |     21.8     22.7      22.8     22.1     21.9     22.3
 24 | 3 2 3|5-9*      |     21.3     22.1      22.0     21.9     21.9     22.0
 25 | 3 2 4|5-16      |     21.7     21.9      22.1     22.3     22.4     22.6
 26 | 4 1 1|5-8*      |     20.8     22.1      22.3     22.4     22.7     22.8
 27 | 4 1 2|5-84-3    |     23.2     22.3      22.6     24.2     23.8     23.1
 28 | 4 1 3|5-11*     |     23.5     23.8      23.8     23.7     23.6     24.1
 29 | 4 1 4|5-12*     |     23.5     23.3      23.3     22.9     23.1     23.3
 30 | 4 2 1|5-7*      |     22.4     22.6      22.9     22.4     22.8     23.0
 31 | 4 2 2|5-14      |     21.6     22.9      21.7     22.0     22.5     23.0
 32 | 4 2 3|5-6*      |     23.6     23.2      23.9     23.7     23.4     23.5
 33 | 4 2 4|5-13      |     23.7     24.2      24.5     24.3     24.1     24.6
 34 | 5 1 1|5-18*     |     24.5     24.9      24.0     23.9     23.9     23.4
 35 | 5 1 2|5-21      |     24.2     24.7      24.1     23.7     23.5     23.5
 36 | 5 1 3|5-25      |     24.9     24.7      24.3     25.5     24.9     25.2
 37 | 5 1 4|5-26      |     26.4     26.4      26.3     24.6     23.5     24.0
 38 | 5 2 1|5-17*     |     28.4     23.6      25.1     24.1     23.4     23.8
 39 | 5 2 2|5-20      |     28.2     27.3      24.3     23.9     23.4     23.7
 40 | 5 2 3|5-27      |     19.3     16.8      16.4     15.9     24.2     24.4
 41 | 5 3 1|5-16*     |     23.9     24.1      24.0     23.6     23.9     23.6
 42 | 5 3 2|5-19      |     24.8     24.2      24.2     24.2     24.2     24.2
 43 | 6 1 1|5-28      |     22.3     24.8      28.3     25.2     23.9     24.3
 44 | 6 1 2|5-24      |     23.2     22.8      23.3     23.0     22.4     22.6
 45 | 6 1 3|5-29      |     22.9     23.0      23.5     23.3     23.3     22.7
 46 | 6 1 4|5-30      |     23.3     23.1      23.2     22.8     23.4     22.6
 47 | 6 2 1|5-20*     |     23.5     23.3      23.7     24.0     22.9     22.9
