СИТ ГРЕЙНБАРИзмерение от 09.07.16, 05:04:44  Температура предупрежденя 30.0
  № |ш.м.п.|Сил.      |       Т1       Т2       Т3       Т4       Т5       Т6
------------------------------------------------------------------------------
  1 | 1 1 2|5-2       |      9.2     20.2      20.4     20.4     19.9     20.1
  2 | 1 1 3|5-84-1    |     13.6     16.6      14.6     13.9     15.8     21.0
  3 | 1 1 4|5-1*      |     21.6     20.7      20.6     20.7     20.1     19.6
  4 | 1 2 1|5-2*      |     13.6     21.8      21.5     21.1     21.3     21.4
  5 | 1 2 2|5-3*      |     20.6     22.2      22.3     22.2     23.4     21.4
  6 | 1 2 3|5-7       |     20.9     20.7      20.3     20.0     20.6     19.7
  7 | 1 2 4|5-8       |     22.2     22.2      22.0     22.1     21.8     21.6
  8 | 1 3 1|5-84-2    |     16.5     17.1      16.4     16.4     16.4     22.0
  9 | 1 3 3|5-1       |     21.4     20.3      20.2     19.7     20.0     19.1
 10 | 2 1 1|5-10      |     17.4     17.9      17.8     18.3     19.0     22.0
 11 | 2 1 2|5-6       |     21.3     19.5      19.3     19.1     19.1     19.0
 12 | 2 1 3|5-11      |     15.6     18.8      19.1     22.1     20.3     20.9
 13 | 2 1 4|5-12      |     20.3     19.7      20.3     19.5     19.2     19.2
 14 | 2 2 1|5-5*      |   **51.2     19.2      19.1     19.2     19.2     19.5
 15 | 2 2 2|5-5       |     21.0     21.8      22.0     20.3     20.2     19.8
 16 | 2 2 3|5-4*      |     22.0     21.9      21.4     21.4     21.8     21.4
 17 | 2 2 4|5-4       |     22.5     21.7      21.8     21.5     21.1     20.8
 18 | 3 1 1|5-13*     |     22.6     22.8      24.9     23.8     24.2     23.8
 19 | 3 1 2|5-18      |     20.4     19.8      20.4     19.6     19.9     19.2
 20 | 3 1 3|5-14*     |     22.3     22.2      22.3     23.0     22.7     22.7
 21 | 3 1 4|5-15*     |     20.7     20.5      20.0     20.4     20.4     21.1
 22 | 3 2 1|5-10*     |     19.0     18.8      19.0     19.3     19.3     19.8
 23 | 3 2 2|5-17      |     21.6     22.5      22.7     22.0     21.8     21.9
 24 | 3 2 3|5-9*      |     21.4     22.4      22.4     22.3     22.2     21.9
 25 | 3 2 4|5-16      |     21.7     22.1      22.4     22.8     22.9     22.8
 26 | 4 1 1|5-8*      |     19.9     22.4      22.7     23.0     23.2     22.9
 27 | 4 1 2|5-84-3    |     23.3     22.6      23.0     24.7     24.4     23.2
 28 | 4 1 3|5-11*     |     22.1     22.2      22.0     21.8     21.6     21.7
 29 | 4 1 4|5-12*     |     23.9     23.7      23.8     23.6     23.7     23.4
 30 | 4 2 1|5-7*      |     22.8     23.1      23.3     22.8     23.0     22.7
 31 | 4 2 2|5-14      |     21.9     23.2      22.0     22.0     22.3     22.0
 32 | 4 2 3|5-6*      |     22.5     21.7      22.3     21.9     21.4     21.0
 33 | 4 2 4|5-13      |     21.3     21.4      21.5     21.0     20.6     20.1
 34 | 5 1 1|5-18*     |     24.7     24.6      24.2     24.5     24.5     23.9
 35 | 5 1 2|5-21      |     24.2     24.6      24.5     24.4     24.2     23.9
 36 | 5 1 3|5-25      |     21.9     21.8      21.2     22.4     21.7     22.0
 37 | 5 1 4|5-26      |     26.1     28.8      26.3     24.9     23.5     23.4
 38 | 5 2 1|5-17*     |   **30.8     24.1      28.1     24.7     24.1     24.2
 39 | 5 2 2|5-20      |     28.4     28.4      28.3     24.1     23.6     23.5
 40 | 5 2 3|5-27      |     19.0     16.5      16.1     15.6     24.6     24.5
 41 | 5 3 1|5-16*     |     22.6     22.7      22.3     21.7     22.1     21.7
 42 | 5 3 2|5-19      |     22.0     21.4      21.3     21.3     21.1     20.6
 43 | 6 1 1|5-28      |     22.2     24.7      28.5     25.6     24.4     24.5
 44 | 6 1 2|5-24      |     20.5     20.0      20.4     20.1     19.7     20.0
 45 | 6 1 3|5-29      |     22.6     22.8      23.1     22.9     23.1     22.3
 46 | 6 1 4|5-30      |     20.4     20.2      20.3     19.9     20.5     19.9
 47 | 6 2 1|5-20*     |     21.5     20.9      21.1     21.4     20.7     21.0
 48 | 6 2 2|5-23      |     21.9     22.0      22.1     22.6     21.6     22.8
 49 | 6 2 3|5-19*     |     24.9     26.3      23.6     23.7     23.9     23.0
 50 | 6 2 4|5-22      |     24.8     26.6      26.2     24.1     24.2     23.8
 51 | 7 1 1|3-1       |     20.9     21.3      20.1     19.2     19.4     19.6
 52 | 7 1 2|3-1*      |     17.9     20.8      19.2     20.2     19.0     18.9
 53 | 7 1 3|3-7       |     21.7     21.1      21.2     20.8     19.0     18.6
 54 | 7 1 4|3-8       |     19.4     19.7      18.0     16.9     18.7     21.1
 55 | 7 2 1|3-2       |     20.8     21.0      20.5     20.5     19.3     19.7
 56 | 7 2 2|3-2*      |     21.6     20.8      20.7     20.6     20.2     20.6
 57 | 7 2 3|3-9       |     23.4     22.7      22.3     22.6     22.2     21.7
 58 | 7 3 1|3-3       |     21.5     23.2      22.4     21.2     20.7     20.6
 59 | 7 3 2|3-3*      |     20.9     22.2      23.0     20.8     21.1     21.3
 60 | 8 1 1|3-13      |     20.4     20.2      20.2     20.2     20.3     19.1
 61 | 8 1 2|3-6*      |     21.2     20.7      20.4     20.4     20.2     20.4
 62 | 8 1 3|3-11*     |     20.4     20.3      21.2     22.6     14.6     14.4
