СИТ ГРЕЙНБАРИзмерение от 23.03.13, 23:04:43  Температура предупрежденя 27.0
  № |ш.м.п.|Сил.      |       Т1       Т2       Т3       Т4       Т5       Т6
------------------------------------------------------------------------------
  1 | 1 1 2|5-2       |     -0.4     -0.7      -0.5     -0.5     -1.0     -0.7
  2 | 1 1 3|5-84-1    |     -1.3     -1.7      -0.9     -1.0     -1.1     -1.3
  3 | 1 1 4|5-1*      |      2.1      2.4       2.3      2.3      1.6     -0.6
  4 | 1 2 1|5-2*      |      0.6      0.8       0.5      0.1      0.1      0.0
  5 | 1 2 2|5-3*      |      0.0     -0.1      -0.1     -0.4      0.7     -1.0
  6 | 1 2 3|5-7       |      6.7      6.0       5.6      5.5      6.1     -0.3
  7 | 1 2 4|5-8       |      3.3      3.5       3.0      3.0      2.6      2.0
  8 | 1 3 1|5-84-2    |      2.4      1.4       1.3      1.7      0.9      0.4
  9 | 1 3 3|5-1       |     E204     E204      E204     E204     E204     E204
 10 | 2 1 1|5-10      |      7.7      7.5       7.0      6.4      6.0      3.8
 11 | 2 1 2|5-6       |     -2.7     -4.4      -4.4     -4.5     -4.5     -4.5
 12 | 2 1 3|5-11      |      4.8      6.2       4.0      4.9      7.2     -2.4
 13 | 2 1 4|5-12      |     -4.0     -4.6      -4.0     -4.8     -5.2     -5.2
 14 | 2 2 1|5-5*      |     -4.4     -3.8      -4.8     -4.6     -4.3     -4.0
 15 | 2 2 2|5-5       |     -1.4     -1.0      -1.8     -2.1     -2.1     -2.6
 16 | 2 2 3|5-4*      |      0.0     -0.3      -0.9     -1.1     -0.6     -1.1
 17 | 2 2 4|5-4       |      0.3     -1.0      -0.8     -1.2     -1.3     -1.5
 18 | 3 1 1|5-13*     |     11.5     11.4      10.8      9.6     16.5      2.3
 19 | 3 1 2|5-18      |     13.8     15.4      18.0     17.4     -4.9     -5.6
 20 | 3 1 3|5-14*     |     13.0     16.3      16.7     17.6     16.9      2.2
 21 | 3 1 4|5-15*     |      7.3     12.4      11.3     12.0     13.9     -0.4
 22 | 3 2 1|5-10*     |      3.4      4.3       4.7     -3.3     -4.1     -3.8
 23 | 3 2 2|5-17      |      3.3      3.8       3.5      2.3      1.6      1.2
 24 | 3 2 3|5-9*      |      6.3      9.9       8.0      6.4      6.3     -0.3
 25 | 3 2 4|5-16      |     18.9     18.6      21.0     23.4     16.1     15.2
 26 | 4 1 1|5-8*      |      2.2      2.5       2.1      1.1      0.8      0.9
 27 | 4 1 2|5-81-3    |      3.8      2.6       1.8      2.4      0.5      0.9
 28 | 4 1 3|5-11*     |     13.7     12.4      12.3     12.6      8.2      1.7
 29 | 4 1 4|5-12*     |     13.4     14.9      13.5     11.9      7.6      4.6
 30 | 4 2 1|5-7*      |      3.4      4.8    **83.6      5.1      4.6     -0.3
 31 | 4 2 2|5-14      |     11.6     16.9      16.8     21.3     23.9     21.7
 32 | 4 2 3|5-6*      |     11.2     11.6      12.4     13.6     13.2      1.6
 33 | 4 2 4|5-13      |      7.5     E210      E210     16.5     18.3     14.4
 34 | 5 1 1|5-18*     |     17.7     21.2      19.0     20.8     20.4      2.6
 35 | 5 1 2|5-21      |     19.0     20.4      19.9     18.6     19.4      2.6
 36 | 5 1 3|5-25      |      8.7     14.5      14.0     16.7     18.7     16.7
 37 | 5 1 4|5-26      |     15.3     14.1      16.2     11.0     11.0      2.1
 38 | 5 2 1|5-17*     |     17.2     10.6      15.8      4.9      3.9      3.5
 39 | 5 2 2|5-20      |     16.1     17.3      15.2     14.8      3.5      3.0
 40 | 5 2 3|5-27      |     15.5     17.0      13.2     13.2     12.6      5.8
 41 | 5 3 1|5-16*     |     13.6     14.0      12.3     12.9      7.8      1.5
 42 | 5 3 2|5-19      |      7.7     10.4      13.3     14.2     15.4     -0.7
 43 | 6 1 1|5-28      |     13.8     15.3      17.2     12.9     10.3      2.3
 44 | 6 1 2|5-24      |     20.7     17.7      20.4     19.0     16.9     15.2
 45 | 6 1 3|5-29      |      9.7      9.8       9.3      8.8      7.0      0.8
 46 | 6 1 4|5-30      |     17.7     20.2      18.1     19.3     18.3     -4.3
 47 | 6 2 1|5-20*     |     15.3     17.7    **36.7     17.5     18.3     -1.7
 48 | 6 2 2|5-23      |     17.9     19.0      17.4     19.7     15.3     18.6
 49 | 6 2 3|5-19*     |     15.6     17.8      18.4     17.0     16.9      1.4
 50 | 6 2 4|5-22      |     19.4     20.1      21.0     20.9     18.4      2.1
 51 | 7 1 1|3-1       |      5.3      3.9      -3.5     -3.8     -4.3     -4.6
 52 | 7 1 2|3-1*      |      1.5     -2.9      -3.8     -3.6     -4.0     -4.0
 53 | 7 1 3|3-7       |      3.2     -3.5      -3.8     -4.1     -4.7     -4.9
 54 | 7 1 4|3-8       |      6.5      6.6       4.7      3.8      4.5      4.3
 55 | 7 2 1|3-2       |      0.0     -0.6      -1.4     -1.6     -1.8     -2.2
 56 | 7 2 2|3-2*      |     -0.5     -0.4      -1.0     -0.4     -1.2     -1.4
 57 | 7 2 3|3-9       |     10.0      8.5       2.3      1.5      1.0      0.5
 58 | 7 3 1|3-3       |      0.2      0.4      -0.3     -0.8     -1.2     -1.2
 59 | 7 3 2|3-3*      |     -0.9     -0.9       0.8     -1.2     -0.8     -0.5
 60 | 8 1 1|3-13      |     14.6     18.8      20.0     18.7     20.1     13.7
